ticker,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of Business,Net Income From Continuing Operations,Capital Expenditure Reported,Change In Other Working Capital,Change In Other Current Assets,Change In Accrued Expense,Change In Prepaid Assets,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Investment Securities,Short Term Debt Payments,Short Term Debt Issuance,Provisionand Write Offof Assets,Issuance Of Capital Stock,Common Stock Issuance,Change In Other Current Liabilities,Unrealized Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Earnings Losses From Equity Investments,Other Cash Adjustment Inside Changein Cash,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Foreign Currency Exchange Gain Loss,Amortization Of Securities,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Preferred Stock Dividend Paid,Dividend Received Cfo,Preferred Stock Payments,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Other Cash Adjustment Outside Changein Cash,Change In Interest Payable,Dividends Received Cfi,Sale Of Intangibles,Excess Tax Benefit From Stock Based Compensation,Interest Received Cfi,Cash Flow From Discontinued Operation,Depletion,Interest Paid Cff,Taxes Refund Paid,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Dividend Paid Cfo,Interest Paid Cfo
MMM,638000000.0,-1801000000.0,-2656000000.0,8367000000.0,-1181000000.0,505000000.0,852000000.0,5600000000.0,5933000000.0,-44000000.0,-289000000.0,1098000000.0,1098000000.0,-717000000.0,92000000.0,-1982000000.0,-1982000000.0,-1801000000.0,-1801000000.0,5506000000.0,-205000000.0,5711000000.0,-2656000000.0,8367000000.0,-3206000000.0,-3206000000.0,-7000000.0,-2079000000.0,2074000000.0,-4153000000.0,0.0,0.0,,-1120000000.0,61000000.0,-1181000000.0,1819000000.0,1819000000.0,-71000000.0,-226000000.0,-226000000.0,46000000.0,-272000000.0,-272000000.0,41000000.0,114000000.0,114000000.0,-5306000000.0,289000000.0,0.0,321000000.0,321000000.0,1363000000.0,1363000000.0,1035000000.0,1035000000.0,0.0,4188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,473800000.0,-305800000.0,,,-108000000.0,,,239600000.0,339900000.0,-6600000.0,-93700000.0,-408400000.0,-408400000.0,,18100000.0,-190400000.0,-190400000.0,-305800000.0,-305800000.0,69700000.0,,69700000.0,,,-267100000.0,-267100000.0,,-13200000.0,60500000.0,-73700000.0,-145900000.0,,-145900000.0,,,,581800000.0,581800000.0,-45600000.0,-38800000.0,-5900000.0,-5900000.0,,,-40500000.0,49000000.0,,,14900000.0,4700000.0,-4600000.0,-4600000.0,78800000.0,78800000.0,,0.0,,533600000.0,-108000000.0,-22400000.0,7100000.0,-32900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,6351000000.0,-1295000000.0,-660000000.0,223000000.0,-2207000000.0,604000000.0,1723000000.0,7616000000.0,6896000000.0,-96000000.0,816000000.0,-5404000000.0,-5404000000.0,,264000000.0,-3836000000.0,-3836000000.0,-1295000000.0,-1295000000.0,-537000000.0,-100000000.0,-437000000.0,-660000000.0,223000000.0,-2338000000.0,-2338000000.0,9000000.0,-141000000.0,28000000.0,-169000000.0,1000000.0,1000000.0,0.0,-2207000000.0,,-2207000000.0,8558000000.0,8558000000.0,-9217000000.0,-7672000000.0,-7672000000.0,356000000.0,-8028000000.0,-8028000000.0,-58000000.0,-691000000.0,-691000000.0,,673000000.0,,,,3218000000.0,3218000000.0,482000000.0,,,13402000000.0,,,,,-796000000.0,1878000000.0,1878000000.0,1340000000.0,482000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,17832000000.0,-1708000000.0,-14621000000.0,21971000000.0,-974000000.0,2811000000.0,4064000000.0,5524000000.0,12814000000.0,-65000000.0,-7225000000.0,-5211000000.0,-5211000000.0,-42000000.0,214000000.0,-11025000000.0,-11025000000.0,-1708000000.0,-1708000000.0,7350000000.0,0.0,7350000000.0,-9613000000.0,16963000000.0,-20820000000.0,-20820000000.0,189000000.0,482000000.0,555000000.0,-73000000.0,-20517000000.0,,-20517000000.0,-974000000.0,,-974000000.0,18806000000.0,18806000000.0,-2782000000.0,177000000.0,177000000.0,177000000.0,,,-319000000.0,207000000.0,207000000.0,4470000000.0,911000000.0,4476000000.0,-1449000000.0,-1449000000.0,8386000000.0,8386000000.0,,,0.0,4286000000.0,,-3208000000.0,,,361000000.0,7622000000.0,7622000000.0,764000000.0,,-5008000000.0,5008000000.0,508000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,8614518000.0,-4524646000.0,-771246000.0,1599033000.0,-516509000.0,37182000.0,2386620000.0,5004469000.0,9045032000.0,-46264000.0,-3994299000.0,-6063508000.0,-6063508000.0,-543301000.0,,-3241479000.0,-3241479000.0,-3106515000.0,-4524646000.0,827787000.0,,827787000.0,-771246000.0,1599033000.0,-7061818000.0,-7061818000.0,8672000.0,,,,-6553981000.0,28721000.0,-6582702000.0,-516509000.0,,-516509000.0,9131027000.0,9131027000.0,-2158890000.0,-454183000.0,160588000.0,46512000.0,114076000.0,114076000.0,,-601935000.0,,945121000.0,1941590000.0,,-93988000.0,-93988000.0,1077997000.0,1077997000.0,,,,7419197000.0,,28401000.0,-853202000.0,-614771000.0,,530062000.0,530062000.0,547935000.0,,,,,1418131000.0,1418131000.0,-277971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,7873000000.0,-9500000000.0,0.0,1997000000.0,-183000000.0,143000000.0,1727000000.0,7613000000.0,7141000000.0,-9000000.0,481000000.0,-7724000000.0,-7724000000.0,-582000000.0,,,,-9139000000.0,-9500000000.0,1997000000.0,,1997000000.0,0.0,1997000000.0,149000000.0,149000000.0,,332000000.0,499000000.0,-167000000.0,0.0,,0.0,-183000000.0,,-183000000.0,8056000000.0,8056000000.0,144000000.0,308000000.0,112000000.0,44000000.0,68000000.0,68000000.0,,143000000.0,143000000.0,10000000.0,1833000000.0,78000000.0,-468000000.0,-468000000.0,857000000.0,857000000.0,77000000.0,,,5560000000.0,,309000000.0,,196000000.0,-616000000.0,,,857000000.0,,,,,361000000.0,361000000.0,,-35000000.0,77000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,2405000000.0,-1590000000.0,-750000000.0,0.0,-636000000.0,72000000.0,1386000000.0,3811000000.0,3933000000.0,,-122000000.0,-2062000000.0,-2062000000.0,-1000000.0,279000000.0,,,-1590000000.0,-1590000000.0,-750000000.0,,-750000000.0,-750000000.0,0.0,-1101000000.0,-1101000000.0,-98000000.0,198000000.0,2032000000.0,-1834000000.0,-565000000.0,0.0,-565000000.0,-636000000.0,,-636000000.0,3041000000.0,3041000000.0,-2098000000.0,774000000.0,-109000000.0,-109000000.0,,,-1458000000.0,-1865000000.0,-1865000000.0,77000000.0,1407000000.0,,-1163000000.0,-1163000000.0,3177000000.0,3177000000.0,,,,1641000000.0,,108000000.0,,883000000.0,343000000.0,2393000000.0,2393000000.0,784000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,-4640000000.0,,-10703000000.0,15492000000.0,-7392000000.0,1268000000.0,345000000.0,2039000000.0,1990000000.0,-63000000.0,112000000.0,4963000000.0,4963000000.0,657000000.0,,-483000000.0,-483000000.0,,,4789000000.0,609000000.0,4180000000.0,-4506000000.0,8686000000.0,-7700000000.0,-7700000000.0,-360000000.0,-22000000.0,796000000.0,-818000000.0,74000000.0,423000000.0,-349000000.0,,,,2752000000.0,2752000000.0,-92000000.0,-174000000.0,-174000000.0,-40000000.0,-134000000.0,-134000000.0,86000000.0,-361000000.0,-361000000.0,441000000.0,,374000000.0,111000000.0,111000000.0,1264000000.0,1264000000.0,-386000000.0,,-351000000.0,802000000.0,-7392000000.0,,-73000000.0,,269000000.0,,,,-143000000.0,-6197000000.0,6806000000.0,238000000.0,0.0,,161000000.0,,,,97000000.0,0.0,0.0,108000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,2707000000.0,-2800000000.0,-194000000.0,823000000.0,,180000000.0,1367000000.0,6229000000.0,4306000000.0,-79000000.0,2002000000.0,-3486000000.0,-3486000000.0,-242000000.0,,-1087000000.0,-1087000000.0,-2786000000.0,-2800000000.0,629000000.0,,629000000.0,-194000000.0,823000000.0,2781000000.0,2781000000.0,841000000.0,881000000.0,7990000000.0,-7109000000.0,,,,,,,2707000000.0,2707000000.0,-644000000.0,-393000000.0,-393000000.0,,-393000000.0,-393000000.0,,51000000.0,,-415000000.0,,,,,,,-1835000000.0,,,5443000000.0,,,,,,,,,462000000.0,,,,14000000.0,14000000.0,,,,,,,,-2297000000.0,-205000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1373000000.0,-1150000000.0,-600000000.0,1197000000.0,-378000000.0,80000000.0,314000000.0,1332000000.0,1593000000.0,-2000000.0,-259000000.0,-752000000.0,-752000000.0,-42000000.0,77000000.0,-274000000.0,-274000000.0,-1150000000.0,-1150000000.0,637000000.0,40000000.0,597000000.0,-600000000.0,1197000000.0,-1258000000.0,-1258000000.0,-13000000.0,-5000000.0,0.0,-5000000.0,-862000000.0,0.0,-862000000.0,-378000000.0,,-378000000.0,1751000000.0,1751000000.0,83000000.0,103000000.0,103000000.0,103000000.0,,,34000000.0,7000000.0,7000000.0,44000000.0,129000000.0,19000000.0,-64000000.0,-64000000.0,257000000.0,257000000.0,-6000000.0,,0.0,1289000000.0,,-61000000.0,,,,,,,-6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
